Player,Team,Salary,Color,Player,Team
RP Singh,Mumbai Indians,"$600,000","600,000",RP Singh,Mumbai Indians
AB Dinda,Pune Warriors,"$375,000","375,000",AB Dinda,Pune Warriors
AC Thomas,Pune Warriors,"$100,000","100,000",AC Thomas,Pune Warriors
CJ Ferguson,Pune Warriors,"$300,000","300,000",CJ Ferguson,Pune Warriors
JD Ryder,Pune Warriors,"$150,000","150,000",JD Ryder,Pune Warriors
M Kartik,Pune Warriors,"$400,000","400,000",M Kartik,Pune Warriors
RV Uthappa,Pune Warriors,"$2,100,000","2,100,000",RV Uthappa,Pune Warriors
SC Ganguly,Pune Warriors,"$400,000","400,000",SC Ganguly,Pune Warriors
WD Parnell,Pune Warriors,"$160,000","160,000",WD Parnell,Pune Warriors
BJ Hodge,Rajasthan Royals,"$475,000","475,000",BJ Hodge,Rajasthan Royals
GB Hogg,Rajasthan Royals,"$180,000","180,000",GB Hogg,Rajasthan Royals
J Botha,Rajasthan Royals,"$950,000","950,000",J Botha,Rajasthan Royals
K Cooper,Rajasthan Royals,"$50,000","50,000",K Cooper,Rajasthan Royals
OA Shah,Rajasthan Royals,"$200,000","200,000",OA Shah,Rajasthan Royals
R Dravid,Rajasthan Royals,"$500,000","500,000",R Dravid,Rajasthan Royals
SR Watson,Rajasthan Royals,"$125,000","125,000",SR Watson,Rajasthan Royals
SW Tait,Rajasthan Royals,"$300,000","300,000",SW Tait,Rajasthan Royals
A Mithun,Royal Challengers Bangalore,"$260,000","260,000",A Mithun,Royal Challengers Bangalore
AB de Villiers,Royal Challengers Bangalore,"$1,100,000","1,100,000",AB de Villiers,Royal Challengers Bangalore
AB McDonald,Royal Challengers Bangalore,"$80,000","80,000",AB McDonald,Royal Challengers Bangalore
CA Pujara,Royal Challengers Bangalore,"$700,000","700,000",CA Pujara,Royal Challengers Bangalore
CH Gayle,Royal Challengers Bangalore,"$650,000","650,000",CH Gayle,Royal Challengers Bangalore
DL Vettori,Royal Challengers Bangalore,"$550,000","550,000",DL Vettori,Royal Challengers Bangalore
M Kaif,Royal Challengers Bangalore,"$130,000","130,000",M Kaif,Royal Challengers Bangalore
M Muralitharan,Royal Challengers Bangalore,"$220,000","220,000",M Muralitharan,Royal Challengers Bangalore
R Vinay Kumar,Royal Challengers Bangalore,"$1,000,000","1,000,000",R Vinay Kumar,Royal Challengers Bangalore
SS Tiwary,Royal Challengers Bangalore,"$1,600,000","1,600,000",SS Tiwary,Royal Challengers Bangalore
TM Dilshan,Royal Challengers Bangalore,"$650,000","650,000",TM Dilshan,Royal Challengers Bangalore
Z Khan,Royal Challengers Bangalore,"$900,000","900,000",Z Khan,Royal Challengers Bangalore
