Player,Team,Salary,Color,Player,Team
SS Ghosh,Delhi Daredevils,"$31,250","31,250",SS Ghosh,Delhi Daredevils
SS Iyer,Delhi Daredevils,"$1,093,750","1,093,750",SS Iyer,Delhi Daredevils
TA Boult,Delhi Daredevils,"$343,750","343,750",TA Boult,Delhi Daredevils
V Shankar,Delhi Daredevils,"$500,000","500,000",V Shankar,Delhi Daredevils
AD Nath,Kings XI Punjab,"$156,250","156,250",AD Nath,Kings XI Punjab
AJ Finch,Kings XI Punjab,"$968,750","968,750",AJ Finch,Kings XI Punjab
AJ Tye,Kings XI Punjab,"$1,125,000","1,125,000",AJ Tye,Kings XI Punjab
AR Patel,Kings XI Punjab,"$1,953,130","1,953,130",AR Patel,Kings XI Punjab
AS Rajpoot,Kings XI Punjab,"$468,750","468,750",AS Rajpoot,Kings XI Punjab
B Brainder Sran,Kings XI Punjab,"$343,750","343,750",B Brainder Sran,Kings XI Punjab
B Dwarshuis,Kings XI Punjab,"$218,750","218,750",B Dwarshuis,Kings XI Punjab
BB Sran,Kings XI Punjab,"$180,000","180,000",BB Sran,Kings XI Punjab
CH Gayle,Kings XI Punjab,"$312,500","312,500",CH Gayle,Kings XI Punjab
DA Miller,Kings XI Punjab,"$468,750","468,750",DA Miller,Kings XI Punjab
KK Nair,Kings XI Punjab,"$875,000","875,000",KK Nair,Kings XI Punjab
KL Rahul,Kings XI Punjab,"$1,718,750","1,718,750",KL Rahul,Kings XI Punjab
MA Agarwal,Kings XI Punjab,"$156,250","156,250",MA Agarwal,Kings XI Punjab
Manzoor Dar,Kings XI Punjab,"$31,250","31,250",Manzoor Dar,Kings XI Punjab
Mayank Dagar,Kings XI Punjab,"$31,250","31,250",Mayank Dagar,Kings XI Punjab
MK Tiwary,Kings XI Punjab,"$156,250","156,250",MK Tiwary,Kings XI Punjab
MM Sharma,Kings XI Punjab,"$375,000","375,000",MM Sharma,Kings XI Punjab
MP Stoinis,Kings XI Punjab,"$968,750","968,750",MP Stoinis,Kings XI Punjab
Mujeeb Ur Rahman,Kings XI Punjab,"$625,000","625,000",Mujeeb Ur Rahman,Kings XI Punjab
P Sahu,Kings XI Punjab,"$31,250","31,250",P Sahu,Kings XI Punjab
R Ashwin,Kings XI Punjab,"$1,187,500","1,187,500",R Ashwin,Kings XI Punjab
Yuvraj Singh,Kings XI Punjab,"$312,500","312,500",Yuvraj Singh,Kings XI Punjab
AD Russell,Kolkata Knight Riders,"$1,328,130","1,328,130",AD Russell,Kolkata Knight Riders
AV Wankhede,Kolkata Knight Riders,"$31,250","31,250",AV Wankhede,Kolkata Knight Riders
CA Lynn,Kolkata Knight Riders,"$1,500,000","1,500,000",CA Lynn,Kolkata Knight Riders
CS Delport,Kolkata Knight Riders,"$46,880","46,880",CS Delport,Kolkata Knight Riders
IR Jaggi,Kolkata Knight Riders,"$31,250","31,250",IR Jaggi,Kolkata Knight Riders
JPL Scantlebury-Sear,Kolkata Knight Riders,"$46,880","46,880",JPL Scantlebury-Sear,Kolkata Knight Riders
KD Karthik,Kolkata Knight Riders,"$1,156,250","1,156,250",KD Karthik,Kolkata Knight Riders
KL Nagarkoti,Kolkata Knight Riders,"$500,000","500,000",KL Nagarkoti,Kolkata Knight Riders
Kuldeep Yadav,Kolkata Knight Riders,"$906,250","906,250",Kuldeep Yadav,Kolkata Knight Riders
M Prasidh Krishna,Kolkata Knight Riders,"$15,620","15,620",M Prasidh Krishna,Kolkata Knight Riders
MA Starc,Kolkata Knight Riders,"$1,468,750","1,468,750",MA Starc,Kolkata Knight Riders
MG Johnson,Kolkata Knight Riders,"$312,500","312,500",MG Johnson,Kolkata Knight Riders
N Rana,Kolkata Knight Riders,"$531,250","531,250",N Rana,Kolkata Knight Riders
PP Chawla,Kolkata Knight Riders,"$656,250","656,250",PP Chawla,Kolkata Knight Riders
R Vinay Kumar,Kolkata Knight Riders,"$156,250","156,250",R Vinay Kumar,Kolkata Knight Riders
RK Singh,Kolkata Knight Riders,"$125,000","125,000",RK Singh,Kolkata Knight Riders
RV Uthappa,Kolkata Knight Riders,"$1,000,000","1,000,000",RV Uthappa,Kolkata Knight Riders
Shivam Mavi,Kolkata Knight Riders,"$468,750","468,750",Shivam Mavi,Kolkata Knight Riders
Shubman Gill,Kolkata Knight Riders,"$281,250","281,250",Shubman Gill,Kolkata Knight Riders
SP Narine,Kolkata Knight Riders,"$1,953,130","1,953,130",SP Narine,Kolkata Knight Riders
A Dananjaya,Mumbai Indians,"$78,130","78,130",A Dananjaya,Mumbai Indians
AP Tare,Mumbai Indians,"$31,250","31,250",AP Tare,Mumbai Indians
AS Roy,Mumbai Indians,"$31,250","31,250",AS Roy,Mumbai Indians
BCJ Cutting,Mumbai Indians,"$343,750","343,750",BCJ Cutting,Mumbai Indians
E Lewis,Mumbai Indians,"$593,750","593,750",E Lewis,Mumbai Indians
HH Pandya,Mumbai Indians,"$1,718,750","1,718,750",HH Pandya,Mumbai Indians
Ishan Kishan,Mumbai Indians,"$968,750","968,750",Ishan Kishan,Mumbai Indians
JJ Bumrah,Mumbai Indians,"$1,093,750","1,093,750",JJ Bumrah,Mumbai Indians
JP Behrendorff,Mumbai Indians,"$234,380","234,380",JP Behrendorff,Mumbai Indians
JP Duminy,Mumbai Indians,"$156,250","156,250",JP Duminy,Mumbai Indians
KA Pollard,Mumbai Indians,"$843,750","843,750",KA Pollard,Mumbai Indians
KH Pandya,Mumbai Indians,"$1,375,000","1,375,000",KH Pandya,Mumbai Indians
M Markande,Mumbai Indians,"$31,250","31,250",M Markande,Mumbai Indians
MD Nidheesh,Mumbai Indians,"$31,250","31,250",MD Nidheesh,Mumbai Indians
MJ McClenaghan,Mumbai Indians,"$50,000","50,000",MJ McClenaghan,Mumbai Indians
Mohsin Khan,Mumbai Indians,"$31,250","31,250",Mohsin Khan,Mumbai Indians
Mustafizur Rahman,Mumbai Indians,"$343,750","343,750",Mustafizur Rahman,Mumbai Indians
PJ Cummins,Mumbai Indians,"$843,750","843,750",PJ Cummins,Mumbai Indians
PJ Sangwan,Mumbai Indians,"$234,380","234,380",PJ Sangwan,Mumbai Indians
RD Chahar,Mumbai Indians,"$296,880","296,880",RD Chahar,Mumbai Indians
RG Sharma,Mumbai Indians,"$2,343,750","2,343,750",RG Sharma,Mumbai Indians
SA Yadav,Mumbai Indians,"$500,000","500,000",SA Yadav,Mumbai Indians
SD Lad,Mumbai Indians,"$31,250","31,250",SD Lad,Mumbai Indians
SR Lumba,Mumbai Indians,"$31,250","31,250",SR Lumba,Mumbai Indians
SS Tiwary,Mumbai Indians,"$125,000","125,000",SS Tiwary,Mumbai Indians
Tajinder Singh,Mumbai Indians,"$85,940","85,940",Tajinder Singh,Mumbai Indians
AM Rahane,Rajasthan Royals,"$625,000","625,000",AM Rahane,Rajasthan Royals
Ankit Sharma,Rajasthan Royals,"$31,250","31,250",Ankit Sharma,Rajasthan Royals
Anureet Singh,Rajasthan Royals,"$46,880","46,880",Anureet Singh,Rajasthan Royals
AV Birla,Rajasthan Royals,"$46,880","46,880",AV Birla,Rajasthan Royals
B Laughlin,Rajasthan Royals,"$78,130","78,130",B Laughlin,Rajasthan Royals
BA Stokes,Rajasthan Royals,"$1,953,130","1,953,130",BA Stokes,Rajasthan Royals
DJM Short,Rajasthan Royals,"$625,000","625,000",DJM Short,Rajasthan Royals
DS Kulkarni,Rajasthan Royals,"$117,190","117,190",DS Kulkarni,Rajasthan Royals
IS Sodhi,Rajasthan Royals,"$69,573","69,573",IS Sodhi,Rajasthan Royals
Jatin S Saxena,Rajasthan Royals,"$31,250","31,250",Jatin S Saxena,Rajasthan Royals
JC Archer,Rajasthan Royals,"$1,125,000","1,125,000",JC Archer,Rajasthan Royals
JC Buttler,Rajasthan Royals,"$687,500","687,500",JC Buttler,Rajasthan Royals
JD Unadkat,Rajasthan Royals,"$1,796,880","1,796,880",JD Unadkat,Rajasthan Royals
K Gowtham,Rajasthan Royals,"$968,750","968,750",K Gowtham,Rajasthan Royals
MK Lomror,Rajasthan Royals,"$31,250","31,250",MK Lomror,Rajasthan Royals
P Chopra,Rajasthan Royals,"$31,250","31,250",P Chopra,Rajasthan Royals
PVD Chameera,Rajasthan Royals,"$78,130","78,130",PVD Chameera,Rajasthan Royals
RA Tripathi,Rajasthan Royals,"$531,250","531,250",RA Tripathi,Rajasthan Royals
S Gopal,Rajasthan Royals,"$31,250","31,250",S Gopal,Rajasthan Royals
S Midhun,Rajasthan Royals,"$31,250","31,250",S Midhun,Rajasthan Royals
SPD Smith,Rajasthan Royals,"$1,953,130","1,953,130",SPD Smith,Rajasthan Royals
STR Binny,Rajasthan Royals,"$78,130","78,130",STR Binny,Rajasthan Royals
SV Samson,Rajasthan Royals,"$1,250,000","1,250,000",SV Samson,Rajasthan Royals
Zahir Khan,Rajasthan Royals,"$93,750","93,750",Zahir Khan,Rajasthan Royals
A Choudhary,Royal Challengers Bangalore,"$46,880","46,880",A Choudhary,Royal Challengers Bangalore
AA Joshi,Royal Challengers Bangalore,"$31,250","31,250",AA Joshi,Royal Challengers Bangalore
AB de Villiers,Royal Challengers Bangalore,"$1,718,750","1,718,750",AB de Villiers,Royal Challengers Bangalore
BB McCullum,Royal Challengers Bangalore,"$562,500","562,500",BB McCullum,Royal Challengers Bangalore
C de Grandhomme,Royal Challengers Bangalore,"$343,750","343,750",C de Grandhomme,Royal Challengers Bangalore
CJ Anderson,Royal Challengers Bangalore,"$150,000","150,000",CJ Anderson,Royal Challengers Bangalore
CR Woakes,Royal Challengers Bangalore,"$1,156,250","1,156,250",CR Woakes,Royal Challengers Bangalore
K Khejroliya,Royal Challengers Bangalore,"$15,000","15,000",K Khejroliya,Royal Challengers Bangalore
K Khejroloya,Royal Challengers Bangalore,"$132,810","132,810",K Khejroloya,Royal Challengers Bangalore
M Ashwin,Royal Challengers Bangalore,"$343,750","343,750",M Ashwin,Royal Challengers Bangalore
M Vohra,Royal Challengers Bangalore,"$171,880","171,880",M Vohra,Royal Challengers Bangalore
Mandeep Singh,Royal Challengers Bangalore,"$218,750","218,750",Mandeep Singh,Royal Challengers Bangalore
MM Ali,Royal Challengers Bangalore,"$265,630","265,630",MM Ali,Royal Challengers Bangalore
Mohammed Siraj,Royal Challengers Bangalore,"$406,250","406,250",Mohammed Siraj,Royal Challengers Bangalore
NA Saini,Royal Challengers Bangalore,"$468,750","468,750",NA Saini,Royal Challengers Bangalore
NM Coulter-Nile,Royal Challengers Bangalore,"$343,750","343,750",NM Coulter-Nile,Royal Challengers Bangalore
P Negi,Royal Challengers Bangalore,"$156,250","156,250",P Negi,Royal Challengers Bangalore
PA Patel,Royal Challengers Bangalore,"$265,630","265,630",PA Patel,Royal Challengers Bangalore
PU Deshpande,Royal Challengers Bangalore,"$31,250","31,250",PU Deshpande,Royal Challengers Bangalore
Q de Kock,Royal Challengers Bangalore,"$437,500","437,500",Q de Kock,Royal Challengers Bangalore
SN Khan,Royal Challengers Bangalore,"$468,750","468,750",SN Khan,Royal Challengers Bangalore
TG Southee,Royal Challengers Bangalore,"$156,250","156,250",TG Southee,Royal Challengers Bangalore
UT Yadav,Royal Challengers Bangalore,"$656,250","656,250",UT Yadav,Royal Challengers Bangalore
V Kohli,Royal Challengers Bangalore,"$2,656,250","2,656,250",V Kohli,Royal Challengers Bangalore
Washington Sundar,Royal Challengers Bangalore,"$500,000","500,000",Washington Sundar,Royal Challengers Bangalore
YS Chahal,Royal Challengers Bangalore,"$937,500","937,500",YS Chahal,Royal Challengers Bangalore
B Kumar,Sunrisers Hyderabad,"$1,328,130","1,328,130",B Kumar,Sunrisers Hyderabad
B Stanlake,Sunrisers Hyderabad,"$78,130","78,130",B Stanlake,Sunrisers Hyderabad
Basil Thampi,Sunrisers Hyderabad,"$148,440","148,440",Basil Thampi,Sunrisers Hyderabad
Bipul Sharma,Sunrisers Hyderabad,"$31,250","31,250",Bipul Sharma,Sunrisers Hyderabad
CJ Jordan,Sunrisers Hyderabad,"$156,250","156,250",CJ Jordan,Sunrisers Hyderabad
CR Brathwaite,Sunrisers Hyderabad,"$312,500","312,500",CR Brathwaite,Sunrisers Hyderabad
DA Warner,Sunrisers Hyderabad,"$1,953,130","1,953,130",DA Warner,Sunrisers Hyderabad
DJ Hooda,Sunrisers Hyderabad,"$562,500","562,500",DJ Hooda,Sunrisers Hyderabad
KK Ahmed,Sunrisers Hyderabad,"$468,750","468,750",KK Ahmed,Sunrisers Hyderabad
KS Williamson,Sunrisers Hyderabad,"$468,750","468,750",KS Williamson,Sunrisers Hyderabad
M Hassan,Sunrisers Hyderabad,"$31,250","31,250",M Hassan,Sunrisers Hyderabad
MK Pandey,Sunrisers Hyderabad,"$1,718,750","1,718,750",MK Pandey,Sunrisers Hyderabad
Mohammad Nabi,Sunrisers Hyderabad,"$156,250","156,250",Mohammad Nabi,Sunrisers Hyderabad
Rashid Khan,Sunrisers Hyderabad,"$1,406,250","1,406,250",Rashid Khan,Sunrisers Hyderabad
RK Bhui,Sunrisers Hyderabad,"$31,250","31,250",RK Bhui,Sunrisers Hyderabad
S Dhawan,Sunrisers Hyderabad,"$812,500","812,500",S Dhawan,Sunrisers Hyderabad
S Kaul,Sunrisers Hyderabad,"$593,750","593,750",S Kaul,Sunrisers Hyderabad
Sachin Baby,Sunrisers Hyderabad,"$31,250","31,250",Sachin Baby,Sunrisers Hyderabad
Sandeep Sharma,Sunrisers Hyderabad,"$468,750","468,750",Sandeep Sharma,Sunrisers Hyderabad
Shakib Al Hasan,Sunrisers Hyderabad,"$312,500","312,500",Shakib Al Hasan,Sunrisers Hyderabad
SP Goswami,Sunrisers Hyderabad,"$156,250","156,250",SP Goswami,Sunrisers Hyderabad
T Natarajan,Sunrisers Hyderabad,"$62,500","62,500",T Natarajan,Sunrisers Hyderabad
TD Agarwal,Sunrisers Hyderabad,"$31,250","31,250",TD Agarwal,Sunrisers Hyderabad
WP Saha,Sunrisers Hyderabad,"$781,250","781,250",WP Saha,Sunrisers Hyderabad
YK Pathan,Sunrisers Hyderabad,"$296,880","296,880",YK Pathan,Sunrisers Hyderabad
