Player,Team,Salary,Color,Player,Team
2018,,$0,0,,
Sunrisers Hyderabad,2018,$0,0,,
Kolkata Knight Riders,2018,$0,0,,
Mumbai Indians,2018,$0,0,,
Kings XI Punjab,2018,$0,0,,
Chennai Super Kings,2018,$0,0,,
Delhi Daredevils,2018,$0,0,,
Rajasthan Royals,2018,$0,0,,
Royal Challengers Bangalore,2018,$0,0,,
AT Rayudu,Chennai Super Kings,"$343,750","343,750",AT Rayudu,Chennai Super Kings
C Bishnoi,Chennai Super Kings,"$31,250","31,250",C Bishnoi,Chennai Super Kings
DJ Bravo,Chennai Super Kings,"$1,000,000","1,000,000",DJ Bravo,Chennai Super Kings
DL Chahar,Chennai Super Kings,"$125,000","125,000",DL Chahar,Chennai Super Kings
DR Shorey,Chennai Super Kings,"$31,250","31,250",DR Shorey,Chennai Super Kings
F du Plessis,Chennai Super Kings,"$250,000","250,000",F du Plessis,Chennai Super Kings
Harbhajan Singh,Chennai Super Kings,"$312,500","312,500",Harbhajan Singh,Chennai Super Kings
Imran Tahir,Chennai Super Kings,"$156,250","156,250",Imran Tahir,Chennai Super Kings
KK Seth,Chennai Super Kings,"$31,250","31,250",KK Seth,Chennai Super Kings
KM Asif,Chennai Super Kings,"$62,500","62,500",KM Asif,Chennai Super Kings
KM Jadhav,Chennai Super Kings,"$1,218,750","1,218,750",KM Jadhav,Chennai Super Kings
Kshitiz Sharma,Chennai Super Kings,"$31,250","31,250",Kshitiz Sharma,Chennai Super Kings
KV Sharma,Chennai Super Kings,"$478,000","478,000",KV Sharma,Chennai Super Kings
KVSharma,Chennai Super Kings,"$781,250","781,250",KVSharma,Chennai Super Kings
L Ngidi,Chennai Super Kings,"$78,130","78,130",L Ngidi,Chennai Super Kings
M Vijay,Chennai Super Kings,"$312,500","312,500",M Vijay,Chennai Super Kings
MA Wood,Chennai Super Kings,"$234,380","234,380",MA Wood,Chennai Super Kings
MJ Santner,Chennai Super Kings,"$78,130","78,130",MJ Santner,Chennai Super Kings
Monu Kumar,Chennai Super Kings,"$31,250","31,250",Monu Kumar,Chennai Super Kings
MS Dhoni,Chennai Super Kings,"$2,343,750","2,343,750",MS Dhoni,Chennai Super Kings
N Jagadeesan,Chennai Super Kings,"$31,250","31,250",N Jagadeesan,Chennai Super Kings
RA Jadeja,Chennai Super Kings,"$1,093,750","1,093,750",RA Jadeja,Chennai Super Kings
SK Raina,Chennai Super Kings,"$1,718,750","1,718,750",SK Raina,Chennai Super Kings
SN Thakur,Chennai Super Kings,"$406,250","406,250",SN Thakur,Chennai Super Kings
SR Watson,Chennai Super Kings,"$625,000","625,000",SR Watson,Chennai Super Kings
SW Billings,Chennai Super Kings,"$156,250","156,250",SW Billings,Chennai Super Kings
A Mishra,Delhi Daredevils,"$625,000","625,000",A Mishra,Delhi Daredevils
Abhishek Sharma,Delhi Daredevils,"$85,940","85,940",Abhishek Sharma,Delhi Daredevils
Avesh Khan,Delhi Daredevils,"$109,380","109,380",Avesh Khan,Delhi Daredevils
C Munro,Delhi Daredevils,"$296,880","296,880",C Munro,Delhi Daredevils
CH Morris,Delhi Daredevils,"$1,718,750","1,718,750",CH Morris,Delhi Daredevils
DT Christian,Delhi Daredevils,"$234,380","234,380",DT Christian,Delhi Daredevils
G Gambhir,Delhi Daredevils,"$437,500","437,500",G Gambhir,Delhi Daredevils
GJ Maxwell,Delhi Daredevils,"$1,406,250","1,406,250",GJ Maxwell,Delhi Daredevils
Gurkeerat Singh,Delhi Daredevils,"$117,190","117,190",Gurkeerat Singh,Delhi Daredevils
HV Patel,Delhi Daredevils,"$31,250","31,250",HV Patel,Delhi Daredevils
J Yadav,Delhi Daredevils,"$78,130","78,130",J Yadav,Delhi Daredevils
JJ Roy,Delhi Daredevils,"$234,380","234,380",JJ Roy,Delhi Daredevils
K Rabada,Delhi Daredevils,"$656,250","656,250",K Rabada,Delhi Daredevils
Manjot Kalra,Delhi Daredevils,"$31,250","31,250",Manjot Kalra,Delhi Daredevils
Mohammad Shamo,Delhi Daredevils,"$468,750","468,750",Mohammad Shamo,Delhi Daredevils
Mohammed Shami,Delhi Daredevils,"$708,000","708,000",Mohammed Shami,Delhi Daredevils
NV Ojha,Delhi Daredevils,"$218,750","218,750",NV Ojha,Delhi Daredevils
PP Shaw,Delhi Daredevils,"$187,500","187,500",PP Shaw,Delhi Daredevils
R Tewatia,Delhi Daredevils,"$468,750","468,750",R Tewatia,Delhi Daredevils
RR Pant,Delhi Daredevils,"$2,343,750","2,343,750",RR Pant,Delhi Daredevils
S Lamichhane,Delhi Daredevils,"$31,250","31,250",S Lamichhane,Delhi Daredevils
S Nadeem,Delhi Daredevils,"$500,000","500,000",S Nadeem,Delhi Daredevils
