Player,Team,Salary,Color,Player,Team
2015,,$0,0,,
Chennai Super Kings,2015,$0,0,,
Delhi Daredevils,2015,$0,0,,
Sunrisers Hyderabad,2015,$0,0,,
Rajasthan Royals,2015,$0,0,,
Royal Challengers Bangalore,2015,$0,0,,
Mumbai Indians,2015,$0,0,,
Kings XI Punjab,2015,$0,0,,
Kolkata Knight Riders,2015,$0,0,,
A Nehra,Chennai Super Kings,"$333,000","333,000",A Nehra,Chennai Super Kings
BB McCullum,Chennai Super Kings,"$541,000","541,000",BB McCullum,Chennai Super Kings
DJ Bravo,Chennai Super Kings,"$666,667","666,667",DJ Bravo,Chennai Super Kings
DR Smith,Chennai Super Kings,"$750,000","750,000",DR Smith,Chennai Super Kings
F du Plessis,Chennai Super Kings,"$791,000","791,000",F du Plessis,Chennai Super Kings
IC Pandey,Chennai Super Kings,"$250,000","250,000",IC Pandey,Chennai Super Kings
KJ Abbott,Chennai Super Kings,"$50,000","50,000",KJ Abbott,Chennai Super Kings
M Manhas,Chennai Super Kings,"$50,000","50,000",M Manhas,Chennai Super Kings
MEK Hussey,Chennai Super Kings,"$250,000","250,000",MEK Hussey,Chennai Super Kings
MJ Henry,Chennai Super Kings,"$50,000","50,000",MJ Henry,Chennai Super Kings
MM Sharma,Chennai Super Kings,"$333,000","333,000",MM Sharma,Chennai Super Kings
MS Dhoni,Chennai Super Kings,"$2,083,333","2,083,333",MS Dhoni,Chennai Super Kings
P Negi,Chennai Super Kings,"$16,000","16,000",P Negi,Chennai Super Kings
R Ashwin,Chennai Super Kings,"$1,250,000","1,250,000",R Ashwin,Chennai Super Kings
R Sharma,Chennai Super Kings,"$50,000","50,000",R Sharma,Chennai Super Kings
RA Jadeja,Chennai Super Kings,"$916,667","916,667",RA Jadeja,Chennai Super Kings
RG More,Chennai Super Kings,"$16,000","16,000",RG More,Chennai Super Kings
S Badree,Chennai Super Kings,"$50,000","50,000",S Badree,Chennai Super Kings
SK Raina,Chennai Super Kings,"$1,583,333","1,583,333",SK Raina,Chennai Super Kings
A Mishra,Delhi Daredevils,"$583,333","583,333",A Mishra,Delhi Daredevils
AD Mathews,Delhi Daredevils,"$1,250,000","1,250,000",AD Mathews,Delhi Daredevils
CM Gautam,Delhi Daredevils,"$33,333","33,333",CM Gautam,Delhi Daredevils
DJ Muthuswami,Delhi Daredevils,"$125,000","125,000",DJ Muthuswami,Delhi Daredevils
GS Sandhu,Delhi Daredevils,"$283,333","283,333",GS Sandhu,Delhi Daredevils
J Yadav,Delhi Daredevils,"$16,000","16,000",J Yadav,Delhi Daredevils
JA Morkel,Delhi Daredevils,"$50,000","50,000",JA Morkel,Delhi Daredevils
JD Unadkat,Delhi Daredevils,"$183,333","183,333",JD Unadkat,Delhi Daredevils
JP Duminy,Delhi Daredevils,"$366,000","366,000",JP Duminy,Delhi Daredevils
KM Jadhav,Delhi Daredevils,"$333,000","333,000",KM Jadhav,Delhi Daredevils
MA Agarwal,Delhi Daredevils,"$266,000","266,000",MA Agarwal,Delhi Daredevils
MK Tiwary,Delhi Daredevils,"$466,000","466,000",MK Tiwary,Delhi Daredevils
Mohammed Shami,Delhi Daredevils,"$708,000","708,000",Mohammed Shami,Delhi Daredevils
NM Coulter-Nile,Delhi Daredevils,"$708,000","708,000",NM Coulter-Nile,Delhi Daredevils
Q de Kock,Delhi Daredevils,"$583,000","583,000",Q de Kock,Delhi Daredevils
S Nadeem,Delhi Daredevils,"$141,000","141,000",S Nadeem,Delhi Daredevils
SS Iyer,Delhi Daredevils,"$433,333","433,333",SS Iyer,Delhi Daredevils
SS Tiwary,Delhi Daredevils,"$116,000","116,000",SS Tiwary,Delhi Daredevils
Yuvraj Singh,Delhi Daredevils,"$2,666,667","2,666,667",Yuvraj Singh,Delhi Daredevils
Z Khan,Delhi Daredevils,"$666,667","666,667",Z Khan,Delhi Daredevils
Anureet Singh,Kings XI Punjab,"$33,000","33,000",Anureet Singh,Kings XI Punjab
AR Patel,Kings XI Punjab,"$125,000","125,000",AR Patel,Kings XI Punjab
BE Hendricks,Kings XI Punjab,"$300,000","300,000",BE Hendricks,Kings XI Punjab
DA Miller,Kings XI Punjab,"$833,333","833,333",DA Miller,Kings XI Punjab
GJ Bailey,Kings XI Punjab,"$541,000","541,000",GJ Bailey,Kings XI Punjab
GJ Maxwell,Kings XI Punjab,"$1,000,000","1,000,000",GJ Maxwell,Kings XI Punjab
Gurkeerat Singh,Kings XI Punjab,"$216,000","216,000",Gurkeerat Singh,Kings XI Punjab
Karanveer Singh,Kings XI Punjab,"$16,000","16,000",Karanveer Singh,Kings XI Punjab
M Vijay,Kings XI Punjab,"$500,000","500,000",M Vijay,Kings XI Punjab
M Vohra,Kings XI Punjab,"$58,333","58,333",M Vohra,Kings XI Punjab
MG Johnson,Kings XI Punjab,"$1,083,000","1,083,000",MG Johnson,Kings XI Punjab
NLTC Perera,Kings XI Punjab,"$266,000","266,000",NLTC Perera,Kings XI Punjab
NS Naik,Kings XI Punjab,"$50,000","50,000",NS Naik,Kings XI Punjab
P Awana,Kings XI Punjab,"$108,000","108,000",P Awana,Kings XI Punjab
R Dhawan,Kings XI Punjab,"$500,000","500,000",R Dhawan,Kings XI Punjab
Sandeep Sharma,Kings XI Punjab,"$141,000","141,000",Sandeep Sharma,Kings XI Punjab
SE Marsh,Kings XI Punjab,"$366,000","366,000",SE Marsh,Kings XI Punjab
Shivam Sharma,Kings XI Punjab,"$16,000","16,000",Shivam Sharma,Kings XI Punjab
SN Thakur,Kings XI Punjab,"$33,000","33,000",SN Thakur,Kings XI Punjab
V Sehwag,Kings XI Punjab,"$533,000","533,000",V Sehwag,Kings XI Punjab
WP Saha,Kings XI Punjab,"$366,000","366,000",WP Saha,Kings XI Punjab
AD Russell,Kolkata Knight Riders,"$100,000","100,000",AD Russell,Kolkata Knight Riders
Azhar Mahmood,Kolkata Knight Riders,"$200,000","200,000",Azhar Mahmood,Kolkata Knight Riders
CA Lynn,Kolkata Knight Riders,"$216,000","216,000",CA Lynn,Kolkata Knight Riders
G Gambhir,Kolkata Knight Riders,"$1,666,667","1,666,667",G Gambhir,Kolkata Knight Riders
GB Hogg,Kolkata Knight Riders,"$83,333","83,333",GB Hogg,Kolkata Knight Riders
J Botha,Kolkata Knight Riders,"$950,000","950,000",J Botha,Kolkata Knight Riders
JDS Neesham,Kolkata Knight Riders,"$83,333","83,333",JDS Neesham,Kolkata Knight Riders
KC Cariappa,Kolkata Knight Riders,"$400,000","400,000",KC Cariappa,Kolkata Knight Riders
Kuldeep Yadav,Kolkata Knight Riders,"$66,000","66,000",Kuldeep Yadav,Kolkata Knight Riders
M Morkel,Kolkata Knight Riders,"$466,000","466,000",M Morkel,Kolkata Knight Riders
MK Pandey,Kolkata Knight Riders,"$283,000","283,000",MK Pandey,Kolkata Knight Riders
PP Chawla,Kolkata Knight Riders,"$708,000","708,000",PP Chawla,Kolkata Knight Riders
RN ten Doeschate,Kolkata Knight Riders,"$166,000","166,000",RN ten Doeschate,Kolkata Knight Riders
RV Uthappa,Kolkata Knight Riders,"$833,000","833,000",RV Uthappa,Kolkata Knight Riders
S Narwal,Kolkata Knight Riders,"$16,667","16,667",S Narwal,Kolkata Knight Riders
