Player,Team,Salary,Color,Player,Team
2013,,$0,0,,
Royal Challengers Bangalore,2013,$0,0,,
Chennai Super Kings,2013,$0,0,,
Kings XI Punjab,2013,$0,0,,
Kolkata Knight Riders,2013,$0,0,,
Mumbai Indians,2013,$0,0,,
Rajasthan Royals,2013,$0,0,,
Delhi Daredevils,2013,$0,0,,
Pune Warriors,2013,$0,0,,
Sunrisers Hyderabad,2013,$0,0,,
B Laughlin,Chennai Super Kings,"$20,000","20,000",B Laughlin,Chennai Super Kings
CH Morris,Chennai Super Kings,"$625,000","625,000",CH Morris,Chennai Super Kings
DJ Bravo,Chennai Super Kings,"$200,000","200,000",DJ Bravo,Chennai Super Kings
JA Morkel,Chennai Super Kings,"$500,000","500,000",JA Morkel,Chennai Super Kings
JO Holder,Chennai Super Kings,"$20,000","20,000",JO Holder,Chennai Super Kings
M Vijay,Chennai Super Kings,"$900,000","900,000",M Vijay,Chennai Super Kings
MEK Hussey,Chennai Super Kings,"$425,000","425,000",MEK Hussey,Chennai Super Kings
MS Dhoni,Chennai Super Kings,"$3,000,000","3,000,000",MS Dhoni,Chennai Super Kings
R Ashwin,Chennai Super Kings,"$850,000","850,000",R Ashwin,Chennai Super Kings
RA Jadeja,Chennai Super Kings,"$2,000,000","2,000,000",RA Jadeja,Chennai Super Kings
S Badrinath,Chennai Super Kings,"$800,000","800,000",S Badrinath,Chennai Super Kings
SK Raina,Chennai Super Kings,"$1,300,000","1,300,000",SK Raina,Chennai Super Kings
WP Saha,Chennai Super Kings,"$100,000","100,000",WP Saha,Chennai Super Kings
AB Agarkar,Delhi Daredevils,"$210,000","210,000",AB Agarkar,Delhi Daredevils
AD Russell,Delhi Daredevils,"$450,000","450,000",AD Russell,Delhi Daredevils
BMAJ Mendis,Delhi Daredevils,"$725,000","725,000",BMAJ Mendis,Delhi Daredevils
DA Warner,Delhi Daredevils,"$750,000","750,000",DA Warner,Delhi Daredevils
DPMD Jayawardene,Delhi Daredevils,"$1,400,000","1,400,000",DPMD Jayawardene,Delhi Daredevils
IK Pathan,Delhi Daredevils,"$1,900,000","1,900,000",IK Pathan,Delhi Daredevils
J Botha,Delhi Daredevils,"$950,000","950,000",J Botha,Delhi Daredevils
M Morkel,Delhi Daredevils,"$475,000","475,000",M Morkel,Delhi Daredevils
NV Ojha,Delhi Daredevils,"$270,000","270,000",NV Ojha,Delhi Daredevils
RE van der Merwe,Delhi Daredevils,"$50,000","50,000",RE van der Merwe,Delhi Daredevils
V Sehwag,Delhi Daredevils,"$1,800,000","1,800,000",V Sehwag,Delhi Daredevils
AC Gilchrist,Kings XI Punjab,"$900,000","900,000",AC Gilchrist,Kings XI Punjab
AD Mascarenhas,Kings XI Punjab,"$100,000","100,000",AD Mascarenhas,Kings XI Punjab
Azhar Mahmood,Kings XI Punjab,"$200,000","200,000",Azhar Mahmood,Kings XI Punjab
DA Miller,Kings XI Punjab,"$100,000","100,000",DA Miller,Kings XI Punjab
DJ Hussey,Kings XI Punjab,"$1,400,000","1,400,000",DJ Hussey,Kings XI Punjab
LA Pomersbach,Kings XI Punjab,"$300,000","300,000",LA Pomersbach,Kings XI Punjab
MS Gony,Kings XI Punjab,"$500,000","500,000",MS Gony,Kings XI Punjab
P Awana,Kings XI Punjab,"$60,000","60,000",P Awana,Kings XI Punjab
P Kumar,Kings XI Punjab,"$800,000","800,000",P Kumar,Kings XI Punjab
PP Chawla,Kings XI Punjab,"$900,000","900,000",PP Chawla,Kings XI Punjab
RJ Harris,Kings XI Punjab,"$325,000","325,000",RJ Harris,Kings XI Punjab
SE Marsh,Kings XI Punjab,"$400,000","400,000",SE Marsh,Kings XI Punjab
B Lee,Kolkata Knight Riders,"$400,000","400,000",B Lee,Kolkata Knight Riders
BB McCullum,Kolkata Knight Riders,"$900,000","900,000",BB McCullum,Kolkata Knight Riders
EJG Morgan,Kolkata Knight Riders,"$350,000","350,000",EJG Morgan,Kolkata Knight Riders
G Gambhir,Kolkata Knight Riders,"$2,400,000","2,400,000",G Gambhir,Kolkata Knight Riders
JH Kallis,Kolkata Knight Riders,"$1,100,000","1,100,000",JH Kallis,Kolkata Knight Riders
L Balaji,Kolkata Knight Riders,"$500,000","500,000",L Balaji,Kolkata Knight Riders
MK Tiwary,Kolkata Knight Riders,"$475,000","475,000",MK Tiwary,Kolkata Knight Riders
R McLaren,Kolkata Knight Riders,"$50,000","50,000",R McLaren,Kolkata Knight Riders
RN ten Doeschate,Kolkata Knight Riders,"$150,000","150,000",RN ten Doeschate,Kolkata Knight Riders
SMSM Senanayake,Kolkata Knight Riders,"$625,000","625,000",SMSM Senanayake,Kolkata Knight Riders
SP Narine,Kolkata Knight Riders,"$700,000","700,000",SP Narine,Kolkata Knight Riders
YK Pathan,Kolkata Knight Riders,"$2,100,000","2,100,000",YK Pathan,Kolkata Knight Riders
DR Smith,Mumbai Indians,"$100,000","100,000",DR Smith,Mumbai Indians
GJ Maxwell,Mumbai Indians,"$1,000,000","1,000,000",GJ Maxwell,Mumbai Indians
Harbhajan Singh,Mumbai Indians,"$1,300,000","1,300,000",Harbhajan Singh,Mumbai Indians
JDP Oram,Mumbai Indians,"$50,000","50,000",JDP Oram,Mumbai Indians
KA Pollard,Mumbai Indians,"$900,000","900,000",KA Pollard,Mumbai Indians
KD Karthik,Mumbai Indians,"$1,200,000","1,200,000",KD Karthik,Mumbai Indians
MG Johnson,Mumbai Indians,"$300,000","300,000",MG Johnson,Mumbai Indians
MM Patel,Mumbai Indians,"$700,000","700,000",MM Patel,Mumbai Indians
NM Coulter-Nile,Mumbai Indians,"$450,000","450,000",NM Coulter-Nile,Mumbai Indians
PP Ojha,Mumbai Indians,"$800,000","800,000",PP Ojha,Mumbai Indians
