Player,Team,Salary,Color,Player,Team
2014,,$0,0,,
Sunrisers Hyderabad,2014,$0,0,,
Mumbai Indians,2014,$0,0,,
Delhi Daredevils,2014,$0,0,,
Royal Challengers Bangalore,2014,$0,0,,
Kings XI Punjab,2014,$0,0,,
Kolkata Knight Riders,2014,$0,0,,
Rajasthan Royals,2014,$0,0,,
Chennai Super Kings,2014,$0,0,,
A Nehra,Chennai Super Kings,"$333,000","333,000",A Nehra,Chennai Super Kings
BB McCullum,Chennai Super Kings,"$541,000","541,000",BB McCullum,Chennai Super Kings
BW Hilfenhaus,Chennai Super Kings,"$166,000","166,000",BW Hilfenhaus,Chennai Super Kings
DJ Bravo,Chennai Super Kings,"$666,667","666,667",DJ Bravo,Chennai Super Kings
DJ Hussey,Chennai Super Kings,"$1,400,000","1,400,000",DJ Hussey,Chennai Super Kings
DR Smith,Chennai Super Kings,"$750,000","750,000",DR Smith,Chennai Super Kings
F du Plessis,Chennai Super Kings,"$791,000","791,000",F du Plessis,Chennai Super Kings
IC Pandey,Chennai Super Kings,"$250,000","250,000",IC Pandey,Chennai Super Kings
JW Hastings,Chennai Super Kings,"$83,000","83,000",JW Hastings,Chennai Super Kings
M Manhas,Chennai Super Kings,"$50,000","50,000",M Manhas,Chennai Super Kings
MM Sharma,Chennai Super Kings,"$333,000","333,000",MM Sharma,Chennai Super Kings
MS Dhoni,Chennai Super Kings,"$2,083,333","2,083,333",MS Dhoni,Chennai Super Kings
P Negi,Chennai Super Kings,"$16,000","16,000",P Negi,Chennai Super Kings
R Ashwin,Chennai Super Kings,"$1,250,000","1,250,000",R Ashwin,Chennai Super Kings
RA Jadeja,Chennai Super Kings,"$916,667","916,667",RA Jadeja,Chennai Super Kings
S Badree,Chennai Super Kings,"$50,000","50,000",S Badree,Chennai Super Kings
SK Raina,Chennai Super Kings,"$1,583,333","1,583,333",SK Raina,Chennai Super Kings
V Shankar,Chennai Super Kings,"$16,000","16,000",V Shankar,Chennai Super Kings
JD Unadkat,Delhi Daredevils,"$466,000","466,000",JD Unadkat,Delhi Daredevils
JDS Neesham,Delhi Daredevils,"$166,000","166,000",JDS Neesham,Delhi Daredevils
JP Duminy,Delhi Daredevils,"$366,000","366,000",JP Duminy,Delhi Daredevils
KD Karthik,Delhi Daredevils,"$2,083,000","2,083,000",KD Karthik,Delhi Daredevils
KM Jadhav,Delhi Daredevils,"$333,000","333,000",KM Jadhav,Delhi Daredevils
KP Pietersen,Delhi Daredevils,"$1,500,000","1,500,000",KP Pietersen,Delhi Daredevils
LR Shukla,Delhi Daredevils,"$250,000","250,000",LR Shukla,Delhi Daredevils
LRPL Taylor,Delhi Daredevils,"$1,000,000","1,000,000",LRPL Taylor,Delhi Daredevils
M Vijay,Delhi Daredevils,"$833,000","833,000",M Vijay,Delhi Daredevils
MA Agarwal,Delhi Daredevils,"$266,000","266,000",MA Agarwal,Delhi Daredevils
MK Tiwary,Delhi Daredevils,"$466,000","466,000",MK Tiwary,Delhi Daredevils
Mohammed Shami,Delhi Daredevils,"$708,000","708,000",Mohammed Shami,Delhi Daredevils
NM Coulter-Nile,Delhi Daredevils,"$708,000","708,000",NM Coulter-Nile,Delhi Daredevils
Q de Kock,Delhi Daredevils,"$583,000","583,000",Q de Kock,Delhi Daredevils
R Sharma,Delhi Daredevils,"$316,000","316,000",R Sharma,Delhi Daredevils
R Shukla,Delhi Daredevils,"$66,000","66,000",R Shukla,Delhi Daredevils
S Kaul,Delhi Daredevils,"$75,000","75,000",S Kaul,Delhi Daredevils
S Nadeem,Delhi Daredevils,"$141,000","141,000",S Nadeem,Delhi Daredevils
WD Parnell,Delhi Daredevils,"$166,000","166,000",WD Parnell,Delhi Daredevils
AR Patel,Kings XI Punjab,"$125,000","125,000",AR Patel,Kings XI Punjab
BE Hendricks,Kings XI Punjab,"$300,000","300,000",BE Hendricks,Kings XI Punjab
CA Pujara,Kings XI Punjab,"$316,000","316,000",CA Pujara,Kings XI Punjab
DA Miller,Kings XI Punjab,"$833,333","833,333",DA Miller,Kings XI Punjab
GJ Bailey,Kings XI Punjab,"$541,000","541,000",GJ Bailey,Kings XI Punjab
GJ Maxwell,Kings XI Punjab,"$1,000,000","1,000,000",GJ Maxwell,Kings XI Punjab
Karanveer Singh,Kings XI Punjab,"$16,000","16,000",Karanveer Singh,Kings XI Punjab
L Balaji,Kings XI Punjab,"$300,000","300,000",L Balaji,Kings XI Punjab
M Kartik,Kings XI Punjab,"$400,000","400,000",M Kartik,Kings XI Punjab
M Vohra,Kings XI Punjab,"$58,333","58,333",M Vohra,Kings XI Punjab
Mandeep Singh,Kings XI Punjab,"$133,000","133,000",Mandeep Singh,Kings XI Punjab
MG Johnson,Kings XI Punjab,"$1,083,000","1,083,000",MG Johnson,Kings XI Punjab
P Awana,Kings XI Punjab,"$108,000","108,000",P Awana,Kings XI Punjab
R Dhawan,Kings XI Punjab,"$500,000","500,000",R Dhawan,Kings XI Punjab
Sandeep Sharma,Kings XI Punjab,"$141,000","141,000",Sandeep Sharma,Kings XI Punjab
SE Marsh,Kings XI Punjab,"$366,000","366,000",SE Marsh,Kings XI Punjab
