Player,Team,Salary,Color,Player,Team
Shivam Sharma,Kings XI Punjab,"$16,000","16,000",Shivam Sharma,Kings XI Punjab
V Sehwag,Kings XI Punjab,"$533,000","533,000",V Sehwag,Kings XI Punjab
WP Saha,Kings XI Punjab,"$366,000","366,000",WP Saha,Kings XI Punjab
AD Russell,Kolkata Knight Riders,"$100,000","100,000",AD Russell,Kolkata Knight Riders
CA Lynn,Kolkata Knight Riders,"$216,000","216,000",CA Lynn,Kolkata Knight Riders
G Gambhir,Kolkata Knight Riders,"$1,666,667","1,666,667",G Gambhir,Kolkata Knight Riders
JH Kallis,Kolkata Knight Riders,"$916,000","916,000",JH Kallis,Kolkata Knight Riders
M Morkel,Kolkata Knight Riders,"$466,000","466,000",M Morkel,Kolkata Knight Riders
MK Pandey,Kolkata Knight Riders,"$283,000","283,000",MK Pandey,Kolkata Knight Riders
MS Bisla,Kolkata Knight Riders,"$100,000","100,000",MS Bisla,Kolkata Knight Riders
PP Chawla,Kolkata Knight Riders,"$708,000","708,000",PP Chawla,Kolkata Knight Riders
R Vinay Kumar,Kolkata Knight Riders,"$466,000","466,000",R Vinay Kumar,Kolkata Knight Riders
RN ten Doeschate,Kolkata Knight Riders,"$166,000","166,000",RN ten Doeschate,Kolkata Knight Riders
RV Uthappa,Kolkata Knight Riders,"$833,000","833,000",RV Uthappa,Kolkata Knight Riders
SA Yadav,Kolkata Knight Riders,"$116,000","116,000",SA Yadav,Kolkata Knight Riders
Shakib Al Hasan,Kolkata Knight Riders,"$466,000","466,000",Shakib Al Hasan,Kolkata Knight Riders
SP Narine,Kolkata Knight Riders,"$700,000","700,000",SP Narine,Kolkata Knight Riders
UT Yadav,Kolkata Knight Riders,"$433,000","433,000",UT Yadav,Kolkata Knight Riders
YK Pathan,Kolkata Knight Riders,"$541,000","541,000",YK Pathan,Kolkata Knight Riders
AP Tare,Mumbai Indians,"$266,000","266,000",AP Tare,Mumbai Indians
BR Dunk,Mumbai Indians,"$33,000","33,000",BR Dunk,Mumbai Indians
CJ Anderson,Mumbai Indians,"$750,000","750,000",CJ Anderson,Mumbai Indians
CM Gautam,Mumbai Indians,"$33,000","33,000",CM Gautam,Mumbai Indians
Harbhajan Singh,Mumbai Indians,"$1,333,333","1,333,333",Harbhajan Singh,Mumbai Indians
JJ Bumrah,Mumbai Indians,"$200,000","200,000",JJ Bumrah,Mumbai Indians
K Santokie,Mumbai Indians,"$50,000","50,000",K Santokie,Mumbai Indians
KA Pollard,Mumbai Indians,"$900,000","900,000",KA Pollard,Mumbai Indians
M de Lange,Mumbai Indians,"$50,000","50,000",M de Lange,Mumbai Indians
MEK Hussey,Mumbai Indians,"$833,000","833,000",MEK Hussey,Mumbai Indians
P Kumar,Mumbai Indians,"$800,000","800,000",P Kumar,Mumbai Indians
P Suyal,Mumbai Indians,"$16,000","16,000",P Suyal,Mumbai Indians
PP Ojha,Mumbai Indians,"$541,000","541,000",PP Ojha,Mumbai Indians
RG Sharma,Mumbai Indians,"$1,916,667","1,916,667",RG Sharma,Mumbai Indians
S Gopal,Mumbai Indians,"$16,000","16,000",S Gopal,Mumbai Indians
SL Malinga,Mumbai Indians,"$1,350,000","1,350,000",SL Malinga,Mumbai Indians
Z Khan,Mumbai Indians,"$433,000","433,000",Z Khan,Mumbai Indians
AM Nayar,Rajasthan Royals,"$166,000","166,000",AM Nayar,Rajasthan Royals
AM Rahane,Rajasthan Royals,"$1,333,333","1,333,333",AM Rahane,Rajasthan Royals
BCJ Cutting,Rajasthan Royals,"$133,000","133,000",BCJ Cutting,Rajasthan Royals
BJ Hodge,Rajasthan Royals,"$400,000","400,000",BJ Hodge,Rajasthan Royals
DH Yagnik,Rajasthan Royals,"$50,000","50,000",DH Yagnik,Rajasthan Royals
DS Kulkarni,Rajasthan Royals,"$183,000","183,000",DS Kulkarni,Rajasthan Royals
Iqbal Abdulla,Rajasthan Royals,"$108,000","108,000",Iqbal Abdulla,Rajasthan Royals
JP Faulkner,Rajasthan Royals,"$850,000","850,000",JP Faulkner,Rajasthan Royals
KK Nair,Rajasthan Royals,"$125,000","125,000",KK Nair,Rajasthan Royals
KW Richardson,Rajasthan Royals,"$166,000","166,000",KW Richardson,Rajasthan Royals
PV Tambe,Rajasthan Royals,"$16,000","16,000",PV Tambe,Rajasthan Royals
R Bhatia,Rajasthan Royals,"$283,000","283,000",R Bhatia,Rajasthan Royals
SPD Smith,Rajasthan Royals,"$666,000","666,000",SPD Smith,Rajasthan Royals
SR Watson,Rajasthan Royals,"$1,300,000","1,300,000",SR Watson,Rajasthan Royals
TG Southee,Rajasthan Royals,"$200,000","200,000",TG Southee,Rajasthan Royals
UBT Chand,Rajasthan Royals,"$108,000","108,000",UBT Chand,Rajasthan Royals
VS Malik,Rajasthan Royals,"$33,000","33,000",VS Malik,Rajasthan Royals
AB de Villiers,Royal Challengers Bangalore,"$1,583,333","1,583,333",AB de Villiers,Royal Challengers Bangalore
AB Dinda,Royal Challengers Bangalore,"$250,000","250,000",AB Dinda,Royal Challengers Bangalore
AN Ahmed,Royal Challengers Bangalore,"$50,000","50,000",AN Ahmed,Royal Challengers Bangalore
CH Gayle,Royal Challengers Bangalore,"$1,400,000","1,400,000",CH Gayle,Royal Challengers Bangalore
HV Patel,Royal Challengers Bangalore,"$66,000","66,000",HV Patel,Royal Challengers Bangalore
JA Morkel,Royal Challengers Bangalore,"$400,000","400,000",JA Morkel,Royal Challengers Bangalore
M Muralitharan,Royal Challengers Bangalore,"$166,000","166,000",M Muralitharan,Royal Challengers Bangalore
MA Starc,Royal Challengers Bangalore,"$833,000","833,000",MA Starc,Royal Challengers Bangalore
NJ Maddinson,Royal Challengers Bangalore,"$83,000","83,000",NJ Maddinson,Royal Challengers Bangalore
PA Patel,Royal Challengers Bangalore,"$233,000","233,000",PA Patel,Royal Challengers Bangalore
R Rampaul,Royal Challengers Bangalore,"$150,000","150,000",R Rampaul,Royal Challengers Bangalore
SB Jakati,Royal Challengers Bangalore,"$33,000","33,000",SB Jakati,Royal Challengers Bangalore
V Kohli,Royal Challengers Bangalore,"$2,500,000","2,500,000",V Kohli,Royal Challengers Bangalore
VH Zol,Royal Challengers Bangalore,"$50,000","50,000",VH Zol,Royal Challengers Bangalore
VR Aaron,Royal Challengers Bangalore,"$333,000","333,000",VR Aaron,Royal Challengers Bangalore
YS Chahal,Royal Challengers Bangalore,"$16,000","16,000",YS Chahal,Royal Challengers Bangalore
Yuvraj Singh,Royal Challengers Bangalore,"$2,333,000","2,333,000",Yuvraj Singh,Royal Challengers Bangalore
YV Takawale,Royal Challengers Bangalore,"$16,000","16,000",YV Takawale,Royal Challengers Bangalore
A Mishra,Sunrisers Hyderabad,"$791,000","791,000",A Mishra,Sunrisers Hyderabad
AJ Finch,Sunrisers Hyderabad,"$666,000","666,000",AJ Finch,Sunrisers Hyderabad
B Kumar,Sunrisers Hyderabad,"$708,000","708,000",B Kumar,Sunrisers Hyderabad
DA Warner,Sunrisers Hyderabad,"$916,000","916,000",DA Warner,Sunrisers Hyderabad
DJG Sammy,Sunrisers Hyderabad,"$583,000","583,000",DJG Sammy,Sunrisers Hyderabad
DW Steyn,Sunrisers Hyderabad,"$1,200,000","1,200,000",DW Steyn,Sunrisers Hyderabad
I Sharma,Sunrisers Hyderabad,"$433,000","433,000",I Sharma,Sunrisers Hyderabad
IK Pathan,Sunrisers Hyderabad,"$400,000","400,000",IK Pathan,Sunrisers Hyderabad
JO Holder,Sunrisers Hyderabad,"$125,000","125,000",JO Holder,Sunrisers Hyderabad
KL Rahul,Sunrisers Hyderabad,"$166,000","166,000",KL Rahul,Sunrisers Hyderabad
KV Sharma,Sunrisers Hyderabad,"$625,000","625,000",KV Sharma,Sunrisers Hyderabad
MC Henriques,Sunrisers Hyderabad,"$166,000","166,000",MC Henriques,Sunrisers Hyderabad
NV Ojha,Sunrisers Hyderabad,"$83,000","83,000",NV Ojha,Sunrisers Hyderabad
Parvez Rasool,Sunrisers Hyderabad,"$158,000","158,000",Parvez Rasool,Sunrisers Hyderabad
S Anirudha,Sunrisers Hyderabad,"$33,000","33,000",S Anirudha,Sunrisers Hyderabad
S Dhawan,Sunrisers Hyderabad,"$2,083,333","2,083,333",S Dhawan,Sunrisers Hyderabad
Y Venugopal Rao,Sunrisers Hyderabad,"$700,000","700,000",Y Venugopal Rao,Sunrisers Hyderabad
