Player,Team,Salary,Color,Player,Team
2008,,$0,0,,
Kolkata Knight Riders,2008,$0,0,,
Mumbai Indians,2008,$0,0,,
Royal Challengers Bangalore,2008,$0,0,,
Chennai Super Kings,2008,$0,0,,
Kings XI Punjab,2008,$0,0,,
Delhi Daredevils,2008,$0,0,,
Deccan Chargers,2008,$0,0,,
Rajasthan Royals,2008,$0,0,,
JA Morkel,Chennai Super Kings,"$675,000","675,000",JA Morkel,Chennai Super Kings
JDP Oram,Chennai Super Kings,"$675,000","675,000",JDP Oram,Chennai Super Kings
Joginder Sharma,Chennai Super Kings,"$225,000","225,000",Joginder Sharma,Chennai Super Kings
M Muralitharan,Chennai Super Kings,"$600,000","600,000",M Muralitharan,Chennai Super Kings
M Ntini,Chennai Super Kings,"$200,000","200,000",M Ntini,Chennai Super Kings
MEK Hussey,Chennai Super Kings,"$250,000","250,000",MEK Hussey,Chennai Super Kings
ML Hayden,Chennai Super Kings,"$375,000","375,000",ML Hayden,Chennai Super Kings
MS Dhoni,Chennai Super Kings,"$1,500,000","1,500,000",MS Dhoni,Chennai Super Kings
PA Patel,Chennai Super Kings,"$325,000","325,000",PA Patel,Chennai Super Kings
SK Raina,Chennai Super Kings,"$650,000","650,000",SK Raina,Chennai Super Kings
SP Fleming,Chennai Super Kings,"$350,000","350,000",SP Fleming,Chennai Super Kings
A Symonds,Deccan Chargers,"$1,350,000","1,350,000",A Symonds,Deccan Chargers
AC Gilchrist,Deccan Chargers,"$700,000","700,000",AC Gilchrist,Deccan Chargers
DNT Zoysa,Deccan Chargers,"$110,000","110,000",DNT Zoysa,Deccan Chargers
HH Gibbs,Deccan Chargers,"$575,000","575,000",HH Gibbs,Deccan Chargers
LPC Silva,Deccan Chargers,"$100,000","100,000",LPC Silva,Deccan Chargers
RG Sharma,Deccan Chargers,"$750,000","750,000",RG Sharma,Deccan Chargers
RP Singh,Deccan Chargers,"$875,000","875,000",RP Singh,Deccan Chargers
SB Styris,Deccan Chargers,"$175,000","175,000",SB Styris,Deccan Chargers
Shahid Afridi,Deccan Chargers,"$675,000","675,000",Shahid Afridi,Deccan Chargers
VVS Laxman,Deccan Chargers,"$375,000","375,000",VVS Laxman,Deccan Chargers
WPUJC Vaas,Deccan Chargers,"$200,000","200,000",WPUJC Vaas,Deccan Chargers
AB de Villiers,Delhi Daredevils,"$300,000","300,000",AB de Villiers,Delhi Daredevils
G Gambhir,Delhi Daredevils,"$725,000","725,000",G Gambhir,Delhi Daredevils
GD McGrath,Delhi Daredevils,"$350,000","350,000",GD McGrath,Delhi Daredevils
KD Karthik,Delhi Daredevils,"$525,000","525,000",KD Karthik,Delhi Daredevils
MF Maharoof,Delhi Daredevils,"$225,000","225,000",MF Maharoof,Delhi Daredevils
MK Tiwary,Delhi Daredevils,"$675,000","675,000",MK Tiwary,Delhi Daredevils
Mohammad Asif,Delhi Daredevils,"$650,000","650,000",Mohammad Asif,Delhi Daredevils
Shoaib Malik,Delhi Daredevils,"$500,000","500,000",Shoaib Malik,Delhi Daredevils
TM Dilshan,Delhi Daredevils,"$250,000","250,000",TM Dilshan,Delhi Daredevils
B Lee,Kings XI Punjab,"$900,000","900,000",B Lee,Kings XI Punjab
