Player,Team,Salary,Color,Player,Team
2009,,$0,0,,
Deccan Chargers,2009,$0,0,,
Kolkata Knight Riders,2009,$0,0,,
Rajasthan Royals,2009,$0,0,,
Delhi Daredevils,2009,$0,0,,
Chennai Super Kings,2009,$0,0,,
Royal Challengers Bangalore,2009,$0,0,,
Kings XI Punjab,2009,$0,0,,
Mumbai Indians,2009,$0,0,,
A Flintoff,Chennai Super Kings,"$1,550,000","1,550,000",A Flintoff,Chennai Super Kings
GJ Bailey,Chennai Super Kings,"$50,000","50,000",GJ Bailey,Chennai Super Kings
JA Morkel,Chennai Super Kings,"$675,000","675,000",JA Morkel,Chennai Super Kings
JDP Oram,Chennai Super Kings,"$675,000","675,000",JDP Oram,Chennai Super Kings
Joginder Sharma,Chennai Super Kings,"$225,000","225,000",Joginder Sharma,Chennai Super Kings
M Muralitharan,Chennai Super Kings,"$600,000","600,000",M Muralitharan,Chennai Super Kings
ML Hayden,Chennai Super Kings,"$375,000","375,000",ML Hayden,Chennai Super Kings
MS Dhoni,Chennai Super Kings,"$1,500,000","1,500,000",MS Dhoni,Chennai Super Kings
PA Patel,Chennai Super Kings,"$325,000","325,000",PA Patel,Chennai Super Kings
SK Raina,Chennai Super Kings,"$650,000","650,000",SK Raina,Chennai Super Kings
T Thushara,Chennai Super Kings,"$140,000","140,000",T Thushara,Chennai Super Kings
A Symonds,Deccan Chargers,"$1,350,000","1,350,000",A Symonds,Deccan Chargers
AC Gilchrist,Deccan Chargers,"$700,000","700,000",AC Gilchrist,Deccan Chargers
DR Smith,Deccan Chargers,"$100,000","100,000",DR Smith,Deccan Chargers
FH Edwards,Deccan Chargers,"$150,000","150,000",FH Edwards,Deccan Chargers
HH Gibbs,Deccan Chargers,"$575,000","575,000",HH Gibbs,Deccan Chargers
RG Sharma,Deccan Chargers,"$750,000","750,000",RG Sharma,Deccan Chargers
RP Singh,Deccan Chargers,"$875,000","875,000",RP Singh,Deccan Chargers
SB Styris,Deccan Chargers,"$175,000","175,000",SB Styris,Deccan Chargers
VVS Laxman,Deccan Chargers,"$375,000","375,000",VVS Laxman,Deccan Chargers
WPUJC Vaas,Deccan Chargers,"$200,000","200,000",WPUJC Vaas,Deccan Chargers
AB de Villiers,Delhi Daredevils,"$300,000","300,000",AB de Villiers,Delhi Daredevils
G Gambhir,Delhi Daredevils,"$725,000","725,000",G Gambhir,Delhi Daredevils
