Player,Team,Salary,Color,Player,Team
2016,,$0,0,,
Royal Challengers Bangalore,2016,$0,0,,
Delhi Daredevils,2016,$0,0,,
Sunrisers Hyderabad,2016,$0,0,,
Kolkata Knight Riders,2016,$0,0,,
Rising Pune Supergiants,2016,$0,0,,
Gujarat Lions,2016,$0,0,,
Kings XI Punjab,2016,$0,0,,
Mumbai Indians,2016,$0,0,,
A Mishra,Delhi Daredevils,"$15,000","15,000",A Mishra,Delhi Daredevils
Akhil Arvind Herwadk,Delhi Daredevils,"$15,000","15,000",Akhil Arvind Herwadk,Delhi Daredevils
CH Morris,Delhi Daredevils,"$1,050,000","1,050,000",CH Morris,Delhi Daredevils
Chama Milind,Delhi Daredevils,"$15,000","15,000",Chama Milind,Delhi Daredevils
CR Brathwaite,Delhi Daredevils,"$630,000","630,000",CR Brathwaite,Delhi Daredevils
J Yadav,Delhi Daredevils,"$16,000","16,000",J Yadav,Delhi Daredevils
JA Morkel,Delhi Daredevils,"$50,000","50,000",JA Morkel,Delhi Daredevils
JP Duminy,Delhi Daredevils,"$366,000","366,000",JP Duminy,Delhi Daredevils
JS Paris,Delhi Daredevils,"$45,000","45,000",JS Paris,Delhi Daredevils
KK Nair,Delhi Daredevils,"$600,000","600,000",KK Nair,Delhi Daredevils
MA Agarwal,Delhi Daredevils,"$266,000","266,000",MA Agarwal,Delhi Daredevils
MK Lomror,Delhi Daredevils,"$15,000","15,000",MK Lomror,Delhi Daredevils
Mohammed Shami,Delhi Daredevils,"$708,000","708,000",Mohammed Shami,Delhi Daredevils
NM Coulter-Nile,Delhi Daredevils,"$708,000","708,000",NM Coulter-Nile,Delhi Daredevils
P Negi,Delhi Daredevils,"$1,275,000","1,275,000",P Negi,Delhi Daredevils
P Suyal,Delhi Daredevils,"$15,000","15,000",P Suyal,Delhi Daredevils
Pratyush Singh,Delhi Daredevils,"$15,000","15,000",Pratyush Singh,Delhi Daredevils
Q de Kock,Delhi Daredevils,"$583,000","583,000",Q de Kock,Delhi Daredevils
RR Pant,Delhi Daredevils,"$285,000","285,000",RR Pant,Delhi Daredevils
S Nadeem,Delhi Daredevils,"$141,000","141,000",S Nadeem,Delhi Daredevils
SS Iyer,Delhi Daredevils,"$433,333","433,333",SS Iyer,Delhi Daredevils
SS Tiwary,Delhi Daredevils,"$116,000","116,000",SS Tiwary,Delhi Daredevils
SV Samson,Delhi Daredevils,"$630,000","630,000",SV Samson,Delhi Daredevils
SW Billings,Delhi Daredevils,"$45,000","45,000",SW Billings,Delhi Daredevils
Syed Khaleel Ahmed,Delhi Daredevils,"$15,000","15,000",Syed Khaleel Ahmed,Delhi Daredevils
Z Khan,Delhi Daredevils,"$666,667","666,667",Z Khan,Delhi Daredevils
AD Nath,Gujarat Lions,"$15,000","15,000",AD Nath,Gujarat Lions
AJ Finch,Gujarat Lions,"$150,000","150,000",AJ Finch,Gujarat Lions
AJ Tye,Gujarat Lions,"$75,000","75,000",AJ Tye,Gujarat Lions
BB McCullum,Gujarat Lions,"$541,000","541,000",BB McCullum,Gujarat Lions
DJ Bravo,Gujarat Lions,"$666,667","666,667",DJ Bravo,Gujarat Lions
DR Smith,Gujarat Lions,"$345,000","345,000",DR Smith,Gujarat Lions
DS Kulkarni,Gujarat Lions,"$300,000","300,000",DS Kulkarni,Gujarat Lions
DW Steyn,Gujarat Lions,"$345,000","345,000",DW Steyn,Gujarat Lions
Eklavya Dwivedi,Gujarat Lions,"$150,000","150,000",Eklavya Dwivedi,Gujarat Lions
Ishan Kishan,Gujarat Lions,"$52,500","52,500",Ishan Kishan,Gujarat Lions
Jaydev Shah,Gujarat Lions,"$30,000","30,000",Jaydev Shah,Gujarat Lions
JP Faulkner,Gujarat Lions,"$850,000","850,000",JP Faulkner,Gujarat Lions
KD Karthik,Gujarat Lions,"$345,000","345,000",KD Karthik,Gujarat Lions
P Dogra,Gujarat Lions,"$15,000","15,000",P Dogra,Gujarat Lions
P Kumar,Gujarat Lions,"$525,000","525,000",P Kumar,Gujarat Lions
PJ Sangwan,Gujarat Lions,"$30,000","30,000",PJ Sangwan,Gujarat Lions
PV Tambe,Gujarat Lions,"$30,000","30,000",PV Tambe,Gujarat Lions
RA Jadeja,Gujarat Lions,"$916,667","916,667",RA Jadeja,Gujarat Lions
S Kaushik,Gujarat Lions,"$15,000","15,000",S Kaushik,Gujarat Lions
S Ladda,Gujarat Lions,"$15,000","15,000",S Ladda,Gujarat Lions
SB Jakati,Gujarat Lions,"$30,000","30,000",SB Jakati,Gujarat Lions
SK Raina,Gujarat Lions,"$1,583,333","1,583,333",SK Raina,Gujarat Lions
Umang Sharma,Gujarat Lions,"$15,000","15,000",Umang Sharma,Gujarat Lions
Anureet Singh,Kings XI Punjab,"$33,000","33,000",Anureet Singh,Kings XI Punjab
AR Patel,Kings XI Punjab,"$125,000","125,000",AR Patel,Kings XI Punjab
Armaan Jaffer,Kings XI Punjab,"$15,000","15,000",Armaan Jaffer,Kings XI Punjab
DA Miller,Kings XI Punjab,"$833,333","833,333",DA Miller,Kings XI Punjab
F Behardien,Kings XI Punjab,"$45,000","45,000",F Behardien,Kings XI Punjab
GJ Maxwell,Kings XI Punjab,"$1,000,000","1,000,000",GJ Maxwell,Kings XI Punjab
Gurkeerat Singh,Kings XI Punjab,"$216,000","216,000",Gurkeerat Singh,Kings XI Punjab
KC Cariappa,Kings XI Punjab,"$120,000","120,000",KC Cariappa,Kings XI Punjab
KJ Abbott,Kings XI Punjab,"$315,000","315,000",KJ Abbott,Kings XI Punjab
M Vijay,Kings XI Punjab,"$500,000","500,000",M Vijay,Kings XI Punjab
M Vohra,Kings XI Punjab,"$58,333","58,333",M Vohra,Kings XI Punjab
MG Johnson,Kings XI Punjab,"$1,083,000","1,083,000",MG Johnson,Kings XI Punjab
MM Sharma,Kings XI Punjab,"$975,000","975,000",MM Sharma,Kings XI Punjab
MP Stoinis,Kings XI Punjab,"$82,500","82,500",MP Stoinis,Kings XI Punjab
NS Naik,Kings XI Punjab,"$50,000","50,000",NS Naik,Kings XI Punjab
P Sahu,Kings XI Punjab,"$15,000","15,000",P Sahu,Kings XI Punjab
R Dhawan,Kings XI Punjab,"$500,000","500,000",R Dhawan,Kings XI Punjab
Sandeep Sharma,Kings XI Punjab,"$141,000","141,000",Sandeep Sharma,Kings XI Punjab
SE Marsh,Kings XI Punjab,"$366,000","366,000",SE Marsh,Kings XI Punjab
SN Thakur,Kings XI Punjab,"$33,000","33,000",SN Thakur,Kings XI Punjab
Swapnil Singh,Kings XI Punjab,"$15,000","15,000",Swapnil Singh,Kings XI Punjab
WP Saha,Kings XI Punjab,"$366,000","366,000",WP Saha,Kings XI Punjab
AD Russell,Kolkata Knight Riders,"$100,000","100,000",AD Russell,Kolkata Knight Riders
AS Rajpoot,Kolkata Knight Riders,"$225,000","225,000",AS Rajpoot,Kolkata Knight Riders
C Munro,Kolkata Knight Riders,"$45,000","45,000",C Munro,Kolkata Knight Riders
CA Lynn,Kolkata Knight Riders,"$216,000","216,000",CA Lynn,Kolkata Knight Riders
G Gambhir,Kolkata Knight Riders,"$1,666,667","1,666,667",G Gambhir,Kolkata Knight Riders
GB Hogg,Kolkata Knight Riders,"$83,333","83,333",GB Hogg,Kolkata Knight Riders
JD Unadkat,Kolkata Knight Riders,"$240,000","240,000",JD Unadkat,Kolkata Knight Riders
JO Holder,Kolkata Knight Riders,"$105,000","105,000",JO Holder,Kolkata Knight Riders
