Player,Team,Salary,Color,Player,Team
2011,,$0,0,,
Kochi Tuskers Kerala,2011,$0,0,,
Rajasthan Royals,2011,$0,0,,
Pune Warriors,2011,$0,0,,
Kings XI Punjab,2011,$0,0,,
Delhi Daredevils,2011,$0,0,,
Chennai Super Kings,2011,$0,0,,
Royal Challengers Bangalore,2011,$0,0,,
Deccan Chargers,2011,$0,0,,
Kolkata Knight Riders,2011,$0,0,,
Mumbai Indians,2011,$0,0,,
DE Bollinger,Chennai Super Kings,"$700,000","700,000",DE Bollinger,Chennai Super Kings
DJ Bravo,Chennai Super Kings,"$200,000","200,000",DJ Bravo,Chennai Super Kings
JA Morkel,Chennai Super Kings,"$675,000","675,000",JA Morkel,Chennai Super Kings
Joginder Sharma,Chennai Super Kings,"$150,000","150,000",Joginder Sharma,Chennai Super Kings
MEK Hussey,Chennai Super Kings,"$425,000","425,000",MEK Hussey,Chennai Super Kings
MS Dhoni,Chennai Super Kings,"$1,500,000","1,500,000",MS Dhoni,Chennai Super Kings
R Ashwin,Chennai Super Kings,"$850,000","850,000",R Ashwin,Chennai Super Kings
S Badrinath,Chennai Super Kings,"$800,000","800,000",S Badrinath,Chennai Super Kings
S Randiv,Chennai Super Kings,"$80,000","80,000",S Randiv,Chennai Super Kings
SB Styris,Chennai Super Kings,"$200,000","200,000",SB Styris,Chennai Super Kings
SK Raina,Chennai Super Kings,"$650,000","650,000",SK Raina,Chennai Super Kings
WP Saha,Chennai Super Kings,"$100,000","100,000",WP Saha,Chennai Super Kings
A Mishra,Deccan Chargers,"$300,000","300,000",A Mishra,Deccan Chargers
CL White,Deccan Chargers,"$1,100,000","1,100,000",CL White,Deccan Chargers
DT Christian,Deccan Chargers,"$900,000","900,000",DT Christian,Deccan Chargers
DW Steyn,Deccan Chargers,"$1,200,000","1,200,000",DW Steyn,Deccan Chargers
I Sharma,Deccan Chargers,"$450,000","450,000",I Sharma,Deccan Chargers
JP Duminy,Deccan Chargers,"$300,000","300,000",JP Duminy,Deccan Chargers
KC Sangakkara,Deccan Chargers,"$700,000","700,000",KC Sangakkara,Deccan Chargers
MJ Lumb,Deccan Chargers,"$80,000","80,000",MJ Lumb,Deccan Chargers
MS Gony,Deccan Chargers,"$290,000","290,000",MS Gony,Deccan Chargers
S Dhawan,Deccan Chargers,"$300,000","300,000",S Dhawan,Deccan Chargers
AB Agarkar,Delhi Daredevils,"$210,000","210,000",AB Agarkar,Delhi Daredevils
AB Dinda,Delhi Daredevils,"$375,000","375,000",AB Dinda,Delhi Daredevils
AB McDonald,Delhi Daredevils,"$80,000","80,000",AB McDonald,Delhi Daredevils
AJ Finch,Delhi Daredevils,"$300,000","300,000",AJ Finch,Delhi Daredevils
CA Ingram,Delhi Daredevils,"$100,000","100,000",CA Ingram,Delhi Daredevils
DA Warner,Delhi Daredevils,"$750,000","750,000",DA Warner,Delhi Daredevils
IK Pathan,Delhi Daredevils,"$1,900,000","1,900,000",IK Pathan,Delhi Daredevils
JR Hopes,Delhi Daredevils,"$350,000","350,000",JR Hopes,Delhi Daredevils
M Morkel,Delhi Daredevils,"$475,000","475,000",M Morkel,Delhi Daredevils
MS Wade,Delhi Daredevils,"$100,000","100,000",MS Wade,Delhi Daredevils
NV Ojha,Delhi Daredevils,"$270,000","270,000",NV Ojha,Delhi Daredevils
RE van der Merwe,Delhi Daredevils,"$50,000","50,000",RE van der Merwe,Delhi Daredevils
TR Birt,Delhi Daredevils,"$20,000","20,000",TR Birt,Delhi Daredevils
Y Venugopal Rao,Delhi Daredevils,"$700,000","700,000",Y Venugopal Rao,Delhi Daredevils
AC Gilchrist,Kings XI Punjab,"$900,000","900,000",AC Gilchrist,Kings XI Punjab
AM Nayar,Kings XI Punjab,"$800,000","800,000",AM Nayar,Kings XI Punjab
DJ Hussey,Kings XI Punjab,"$1,400,000","1,400,000",DJ Hussey,Kings XI Punjab
KD Karthik,Kings XI Punjab,"$900,000","900,000",KD Karthik,Kings XI Punjab
NJ Rimmington,Kings XI Punjab,"$20,000","20,000",NJ Rimmington,Kings XI Punjab
P Kumar,Kings XI Punjab,"$800,000","800,000",P Kumar,Kings XI Punjab
PP Chawla,Kings XI Punjab,"$900,000","900,000",PP Chawla,Kings XI Punjab
R McLaren,Kings XI Punjab,"$250,000","250,000",R McLaren,Kings XI Punjab
RJ Harris,Kings XI Punjab,"$325,000","325,000",RJ Harris,Kings XI Punjab
SE Marsh,Kings XI Punjab,"$400,000","400,000",SE Marsh,Kings XI Punjab
BB McCullum,Kochi Tuskers Kerala,"$475,000","475,000",BB McCullum,Kochi Tuskers Kerala
BJ Hodge,Kochi Tuskers Kerala,"$425,000","425,000",BJ Hodge,Kochi Tuskers Kerala
DPMD Jayawardene,Kochi Tuskers Kerala,"$1,500,000","1,500,000",DPMD Jayawardene,Kochi Tuskers Kerala
M Klinger,Kochi Tuskers Kerala,"$75,000","75,000",M Klinger,Kochi Tuskers Kerala
M Muralitharan,Kochi Tuskers Kerala,"$1,100,000","1,100,000",M Muralitharan,Kochi Tuskers Kerala
NLTC Perera,Kochi Tuskers Kerala,"$80,000","80,000",NLTC Perera,Kochi Tuskers Kerala
OA Shah,Kochi Tuskers Kerala,"$200,000","200,000",OA Shah,Kochi Tuskers Kerala
PA Patel,Kochi Tuskers Kerala,"$290,000","290,000",PA Patel,Kochi Tuskers Kerala
R Vinay Kumar,Kochi Tuskers Kerala,"$475,000","475,000",R Vinay Kumar,Kochi Tuskers Kerala
RA Jadeja,Kochi Tuskers Kerala,"$950,000","950,000",RA Jadeja,Kochi Tuskers Kerala
RP Singh,Kochi Tuskers Kerala,"$500,000","500,000",RP Singh,Kochi Tuskers Kerala
RR Powar,Kochi Tuskers Kerala,"$180,000","180,000",RR Powar,Kochi Tuskers Kerala
S Sreesanth,Kochi Tuskers Kerala,"$900,000","900,000",S Sreesanth,Kochi Tuskers Kerala
VVS Laxman,Kochi Tuskers Kerala,"$400,000","400,000",VVS Laxman,Kochi Tuskers Kerala
B Lee,Kolkata Knight Riders,"$400,000","400,000",B Lee,Kolkata Knight Riders
BJ Haddin,Kolkata Knight Riders,"$325,000","325,000",BJ Haddin,Kolkata Knight Riders
EJG Morgan,Kolkata Knight Riders,"$350,000","350,000",EJG Morgan,Kolkata Knight Riders
G Gambhir,Kolkata Knight Riders,"$2,400,000","2,400,000",G Gambhir,Kolkata Knight Riders
JH Kallis,Kolkata Knight Riders,"$1,100,000","1,100,000",JH Kallis,Kolkata Knight Riders
L Balaji,Kolkata Knight Riders,"$500,000","500,000",L Balaji,Kolkata Knight Riders
MK Tiwary,Kolkata Knight Riders,"$475,000","475,000",MK Tiwary,Kolkata Knight Riders
MV Boucher,Kolkata Knight Riders,"$325,000","325,000",MV Boucher,Kolkata Knight Riders
RN ten Doeschate,Kolkata Knight Riders,"$150,000","150,000",RN ten Doeschate,Kolkata Knight Riders
Shakib Al Hasan,Kolkata Knight Riders,"$425,000","425,000",Shakib Al Hasan,Kolkata Knight Riders
YK Pathan,Kolkata Knight Riders,"$2,100,000","2,100,000",YK Pathan,Kolkata Knight Riders
A Symonds,Mumbai Indians,"$850,000","850,000",A Symonds,Mumbai Indians
AC Blizzard,Mumbai Indians,"$20,000","20,000",AC Blizzard,Mumbai Indians
DJ Jacobs,Mumbai Indians,"$190,000","190,000",DJ Jacobs,Mumbai Indians
Harbhajan Singh,Mumbai Indians,"$850,000","850,000",Harbhajan Singh,Mumbai Indians
JEC Franklin,Mumbai Indians,"$100,000","100,000",JEC Franklin,Mumbai Indians
KA Pollard,Mumbai Indians,"$750,000","750,000",KA Pollard,Mumbai Indians
MM Patel,Mumbai Indians,"$700,000","700,000",MM Patel,Mumbai Indians
RG Sharma,Mumbai Indians,"$2,000,000","2,000,000",RG Sharma,Mumbai Indians
AC Thomas,Pune Warriors,"$100,000","100,000",AC Thomas,Pune Warriors
