Player,Team,Salary,Color,Player,Team
2020,,$0,0,,
Rajasthan Royals,2020,$0,0,,
Kolkata Knight Riders,2020,$0,0,,
Kings XI Punjab,2020,$0,0,,
Chennai Super Kings,2020,$0,0,,
Mumbai Indians,2020,$0,0,,
Sunrisers Hyderabad,2020,$0,0,,
Royal Challengers Bangalore,2020,$0,0,,
Delhi Capitals,2020,$0,0,,
AT Rayudu,Chennai Super Kings,"$343,750","343,750",AT Rayudu,Chennai Super Kings
DJ Bravo,Chennai Super Kings,"$1,000,000","1,000,000",DJ Bravo,Chennai Super Kings
DL Chahar,Chennai Super Kings,"$125,000","125,000",DL Chahar,Chennai Super Kings
F du Plessis,Chennai Super Kings,"$250,000","250,000",F du Plessis,Chennai Super Kings
Harbhajan Singh,Chennai Super Kings,"$312,500","312,500",Harbhajan Singh,Chennai Super Kings
Imran Tahir,Chennai Super Kings,"$156,250","156,250",Imran Tahir,Chennai Super Kings
JR Hazlewood,Chennai Super Kings,"$285,700","285,700",JR Hazlewood,Chennai Super Kings
KM Asif,Chennai Super Kings,"$62,500","62,500",KM Asif,Chennai Super Kings
KM Jadhav,Chennai Super Kings,"$1,218,750","1,218,750",KM Jadhav,Chennai Super Kings
KV Sharma,Chennai Super Kings,"$478,000","478,000",KV Sharma,Chennai Super Kings
L Ngidi,Chennai Super Kings,"$78,130","78,130",L Ngidi,Chennai Super Kings
M Vijay,Chennai Super Kings,"$312,500","312,500",M Vijay,Chennai Super Kings
MJ Santner,Chennai Super Kings,"$78,130","78,130",MJ Santner,Chennai Super Kings
Monu Kumar,Chennai Super Kings,"$31,250","31,250",Monu Kumar,Chennai Super Kings
MS Dhoni,Chennai Super Kings,"$2,343,750","2,343,750",MS Dhoni,Chennai Super Kings
N Jagadeesan,Chennai Super Kings,"$31,250","31,250",N Jagadeesan,Chennai Super Kings
PP Chawla,Chennai Super Kings,"$964,300","964,300",PP Chawla,Chennai Super Kings
RA Jadeja,Chennai Super Kings,"$1,093,750","1,093,750",RA Jadeja,Chennai Super Kings
RD Gaikwad,Chennai Super Kings,"$28,600","28,600",RD Gaikwad,Chennai Super Kings
SK Raina,Chennai Super Kings,"$1,718,750","1,718,750",SK Raina,Chennai Super Kings
SM Curran,Chennai Super Kings,"$785,700","785,700",SM Curran,Chennai Super Kings
SN Thakur,Chennai Super Kings,"$406,250","406,250",SN Thakur,Chennai Super Kings
SR Watson,Chennai Super Kings,"$625,000","625,000",SR Watson,Chennai Super Kings
A Mishra,Delhi Capitals,"$625,000","625,000",A Mishra,Delhi Capitals
A Nortje,Delhi Capitals,"$28,600","28,600",A Nortje,Delhi Capitals
AM Rahane,Delhi Capitals,"$760,000","760,000",AM Rahane,Delhi Capitals
AR Patel,Delhi Capitals,"$714,300","714,300",AR Patel,Delhi Capitals
AT Carey,Delhi Capitals,"$342,900","342,900",AT Carey,Delhi Capitals
Avesh Khan,Delhi Capitals,"$109,380","109,380",Avesh Khan,Delhi Capitals
CR Woakes,Delhi Capitals,"$214,300","214,300",CR Woakes,Delhi Capitals
HV Patel,Delhi Capitals,"$31,250","31,250",HV Patel,Delhi Capitals
I Sharma,Delhi Capitals,"$157,100","157,100",I Sharma,Delhi Capitals
JJ Roy,Delhi Capitals,"$214,300","214,300",JJ Roy,Delhi Capitals
K Rabada,Delhi Capitals,"$656,250","656,250",K Rabada,Delhi Capitals
KMA Paul,Delhi Capitals,"$71,400","71,400",KMA Paul,Delhi Capitals
Lalit Yadav,Delhi Capitals,"$28,600","28,600",Lalit Yadav,Delhi Capitals
MM Sharma,Delhi Capitals,"$71,400","71,400",MM Sharma,Delhi Capitals
MP Stoinis,Delhi Capitals,"$685,700","685,700",MP Stoinis,Delhi Capitals
P Dubey,Delhi Capitals,"$15,000","15,000",P Dubey,Delhi Capitals
PP Shaw,Delhi Capitals,"$187,500","187,500",PP Shaw,Delhi Capitals
R Ashwin,Delhi Capitals,"$1,100,000","1,100,000",R Ashwin,Delhi Capitals
RR Pant,Delhi Capitals,"$2,343,750","2,343,750",RR Pant,Delhi Capitals
S Dhawan,Delhi Capitals,"$812,500","812,500",S Dhawan,Delhi Capitals
S Lamichhane,Delhi Capitals,"$31,250","31,250",S Lamichhane,Delhi Capitals
SO Hetmyer,Delhi Capitals,"$1,107,100","1,107,100",SO Hetmyer,Delhi Capitals
SS Iyer,Delhi Capitals,"$1,093,750","1,093,750",SS Iyer,Delhi Capitals
TU Deshpande,Delhi Capitals,"$28,600","28,600",TU Deshpande,Delhi Capitals
Arshdeep Singh,Kings XI Punjab,"$28,600","28,600",Arshdeep Singh,Kings XI Punjab
CH Gayle,Kings XI Punjab,"$312,500","312,500",CH Gayle,Kings XI Punjab
CJ Jordan,Kings XI Punjab,"$428,600","428,600",CJ Jordan,Kings XI Punjab
Darshan Nalkande,Kings XI Punjab,"$42,900","42,900",Darshan Nalkande,Kings XI Punjab
DJ Hooda,Kings XI Punjab,"$71,400","71,400",DJ Hooda,Kings XI Punjab
GC Viljoen,Kings XI Punjab,"$107,100","107,100",GC Viljoen,Kings XI Punjab
GJ Maxwell,Kings XI Punjab,"$1,535,700","1,535,700",GJ Maxwell,Kings XI Punjab
Harpreet Brar,Kings XI Punjab,"$28,600","28,600",Harpreet Brar,Kings XI Punjab
Ishan Porel,Kings XI Punjab,"$28,600","28,600",Ishan Porel,Kings XI Punjab
J Suchith,Kings XI Punjab,"$29,000","29,000",J Suchith,Kings XI Punjab
JDS Neesham,Kings XI Punjab,"$71,400","71,400",JDS Neesham,Kings XI Punjab
K Gowtham,Kings XI Punjab,"$900,000","900,000",K Gowtham,Kings XI Punjab
KK Nair,Kings XI Punjab,"$875,000","875,000",KK Nair,Kings XI Punjab
KL Rahul,Kings XI Punjab,"$1,718,750","1,718,750",KL Rahul,Kings XI Punjab
M Ashwin,Kings XI Punjab,"$28,600","28,600",M Ashwin,Kings XI Punjab
MA Agarwal,Kings XI Punjab,"$156,250","156,250",MA Agarwal,Kings XI Punjab
